time,throttle,brake,speed,x,y
21.5,0.0610754286282701,0,2.2109855219422,39.0874666830664,-1.00004537699096
21.55,0.062651612804878,0,2.21374918817064,39.4046070957202,-1.11117274379523
21.6,0.062963560997329,0,2.21648267918723,39.4046070957202,-1.11117274379523
21.65,0.063812576599783,0,2.214923,39.4046070957202,-1.11117274379523
21.7,0.0636980613567958,0,2.210117,39.4046070957202,-1.11117274379523
21.75,0.0611656951951951,0,2.21067731486561,39.7217467669108,-1.11117080057202
21.8,0.0586332488542622,0,2.21210843417969,39.7217467669108,-1.11117080057202
21.85,0.057842315406517,0,2.20079034313005,40.1974570673075,-1.22229715150973
21.9,0.0574990062911925,0,2.19992682003396,40.1974570673075,-1.22229715150973
21.95,0.0565580567766394,0,2.1908875377562,40.1974570673075,-1.22229715150973
22,0.0562809172718661,0,2.19252102602994,40.4353117852072,-1.22229566516529
22.05,0.0541203270225432,0,2.18713538478896,40.4353117852072,-1.22229566516529
22.1,0.0578568601552394,0,2.19009680749948,40.4353117852072,-1.22229566516529
22.15,0.0575116416366906,0,2.19013396426695,40.7524514355994,-1.22229367121829
22.2,0.0582479615942031,0,2.18824495722351,40.7524514355994,-1.22229367121829
22.25,0.0578816272426652,0,2.18717250533118,40.7524514355994,-1.22229367121829
22.3,0.0601964174950299,0,2.18604229121311,41.0695904328173,-1.11116237219798
22.35,0.0600618816901409,0,2.1819479803962,41.0695904328173,-1.11116237219798
22.4,0.06262253978389,0,2.17455980476604,41.0695904328173,-1.11116237219798
22.45,0.0594661179039302,0,2.17221516948747,41.3867301441553,-1.11116034869861
22.5,0.0544021019311168,0,2.16288175363322,41.3867301441553,-1.11116034869861
22.55,0.0496913280449349,0,2.16939320248139,41.3867301441553,-1.11116034869861
22.6,0.0474925771147873,0,2.16634155758137,41.7038692644906,-1.00002902011118
22.65,0.0474322274426594,0,2.15527384675835,41.7038692644906,-1.00002902011118
22.7,0.0490963510792975,0,2.15093166156373,41.7038692644906,-1.00002902011118
22.75,0.0477750981705488,0,2.15304655555556,42.0210088526301,-1.00002696319005
22.8,0.0477617937735274,0,2.14197346554245,42.0210088526301,-1.00002696319005
22.85,0.0490410517920242,0,2.13923238725266,42.0210088526301,-1.00002696319005
22.9,0.0496211315201948,0,2.14152179172865,42.3381478270622,-0.888895601442839
22.95,0.0502453371929118,0,2.1384490124469,42.3381478270622,-0.888895601442839
23,0.0500976685962373,0,2.138705,42.3381478270622,-0.888895601442839
23.05,0.0492050573951435,0,2.11717588068182,42.3381478270622,-0.888895601442839
